건물명,주소,유형,층수,담당자,연락처
"개포디지털혁신파크(서울디지털재단)","서울특별시 강남구 개포로 416",commercial,5,강남소방서,02-3445-0119
"수도전기공업고등학교","서울특별시 강남구 개포로 410",commercial,5,강남소방서,02-3445-0119
"개포전력구(개포-일원동)","서울특별시 강남구 양재대로 580",commercial,1,강남소방서,02-3445-0119
"개포경남아파트1차상가","서울특별시 강남구 언주로 110",commercial,2,강남소방서,02-3445-0119
"래미안블레스티지","서울특별시 강남구 선릉로 8",residential,35,강남소방서,02-3445-0119
"돌샘유치원","서울특별시 강남구 개포로 516",commercial,2,강남소방서,02-3445-0119
"개포중학교","서울특별시 강남구 선릉로 9",commercial,6,강남소방서,02-3445-0119
"개포주공5단지아파트","서울특별시 강남구 삼성로4길 17",residential,14,강남소방서,02-3445-0119
"개포주공7단지","서울특별시 강남구 개포로 516",residential,15,강남소방서,02-3445-0119
"개포주공6단지아파트","서울특별시 강남구 개포로 516",residential,14,강남소방서,02-3445-0119
"장우빌딩","서울특별시 강남구 개포로82길 13-11",commercial,4,강남소방서,02-3445-0119
"공신빌딩","서울특별시 강남구 개포로88길 6",commercial,6,강남소방서,02-3445-0119
"개포도서관","서울특별시 강남구 선릉로4길 30",commercial,2,강남소방서,02-3445-0119
"개포현대1차아파트","서울특별시 강남구 개포로 303",residential,13,강남소방서,02-3445-0119
"성지빌딩","서울특별시 강남구 개포로82길 5-8",commercial,5,강남소방서,02-3445-0119
"개포경남아파트","서울특별시 강남구 언주로 110",residential,15,강남소방서,02-3445-0119
"개포빌딩","서울특별시 강남구 삼성로 38",commercial,7,강남소방서,02-3445-0119
"삼우빌딩","서울특별시 강남구 개포로82길 11",commercial,6,강남소방서,02-3445-0119
"남광빌딩","서울특별시 강남구 개포로82길 13-15",commercial,4,강남소방서,02-3445-0119
"대화빌딩","서울특별시 강남구 개포로82길 13-17",commercial,5,강남소방서,02-3445-0119
"청우빌딩","서울특별시 강남구 개포로 506",commercial,6,강남소방서,02-3445-0119
"삼성빌딩","서울특별시 강남구 개포로82길 7",commercial,5,강남소방서,02-3445-0119
"한국빌딩","서울특별시 강남구 개포로82길 9-11",commercial,4,강남소방서,02-3445-0119
"개원중학교","서울특별시 강남구 영동대로 101",commercial,4,강남소방서,02-3445-0119
"개포종합상가","서울특별시 강남구 개포로 512",commercial,6,강남소방서,02-3445-0119
"세종빌딩","서울특별시 강남구 개포로82길 13-9",commercial,5,강남소방서,02-3445-0119
"소망빌딩","서울특별시 강남구 개포로 508",commercial,6,강남소방서,02-3445-0119
"영진빌딩","서울특별시 강남구 개포로82길 9-15",commercial,3,강남소방서,02-3445-0119
"개포우성3차아파트","서울특별시 강남구 개포로 307",residential,15,강남소방서,02-3445-0119
"대양빌딩","서울특별시 강남구 개포로82길 9-17",commercial,4,강남소방서,02-3445-0119
"복합상가","서울특별시 강남구 개포로 310",commercial,2,강남소방서,02-3445-0119
"구룡초등학교","서울특별시 강남구 개포로 263",commercial,4,강남소방서,02-3445-0119
"우성3차아파트상가","서울특별시 강남구 개포로 307",commercial,2,강남소방서,02-3445-0119
"개포현대2차아파트 201동(대표동)","서울특별시 강남구 언주로 107",residential,9,강남소방서,02-3445-0119
"개포현대3차아파트","서울특별시 강남구 개포로 409",residential,9,강남소방서,02-3445-0119
