건물명,주소,유형,층수,담당자,연락처
강남타워,서울특별시 강남구 테헤란로 123,commercial,15,김강남,02-1234-5678
롯데월드타워,서울특별시 송파구 올림픽로 300,commercial,123,박송파,02-2345-6789
63빌딩,서울특별시 영등포구 여의도동 60,commercial,63,이여의도,02-3456-7890
서울역사,서울특별시 중구 한강대로 405,commercial,5,최중구,02-4567-8901
동대문디자인플라자,서울특별시 중구 을지로 281,commercial,4,장을지,02-5678-9012
강북아파트,서울특별시 강북구 수유동 123-45,residential,15,유수유,02-6789-0123
마포빌딩,서울특별시 마포구 합정동 456-78,commercial,20,정합정,02-7890-1234
성동공장,서울특별시 성동구 성수동 789-12,industrial,8,동성수,02-8901-2345
관악타워,서울특별시 관악구 신림동 345-67,commercial,25,림신림,02-9012-3456
서초센터,서울특별시 서초구 서초동 890-23,commercial,18,초서초,02-0123-4567
용산빌딩,서울특별시 용산구 한강로동 456-89,commercial,12,산용산,02-1122-3344
종로타워,서울특별시 종로구 종로1가 123-45,commercial,22,로종로,02-2233-4455
노원아파트,서울특별시 노원구 상계동 678-90,residential,20,원노원,02-3344-5566
은평빌딩,서울특별시 은평구 불광동 234-56,commercial,10,평은평,02-4455-6677
동작센터,서울특별시 동작구 사당동 789-01,commercial,16,작동작,02-5566-7788
광진타워,서울특별시 광진구 구의동 345-67,commercial,14,진광진,02-6677-8899
성북아파트,서울특별시 성북구 정릉동 890-12,residential,18,북성북,02-7788-9900
강서공장,서울특별시 강서구 화곡동 456-78,industrial,6,서강서,02-8899-0011
양천빌딩,서울특별시 양천구 목동 123-45,commercial,24,천양천,02-9900-1122
구로센터,서울특별시 구로구 구로동 678-90,commercial,30,로구로,02-0011-2233
